Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site,Week
Oxycodone,4.26,101.37,(1) Mon,0.06,1.51,(05) May,0,24.77,2018-05-14 03:00:00,TP02,0
Oxycodone,2.33,106.94,(2) Tue,0.04,1.68,(05) May,0,27.54,2018-05-15 03:00:00,TP02,0
Oxycodone,1.81,102.03,(3) Wed,0.03,1.6,(05) May,0,26.22,2018-05-16 03:00:00,TP02,0
Oxycodone,5.34,115.53,(4) Thu,0.08,1.78,(05) May,0,29.27,2018-05-17 03:00:00,TP02,0
Oxycodone,4.22,103.88,(5) Fri,0.06,1.54,(05) May,0,25.28,2018-05-18 03:00:00,TP02,0
Oxycodone,1.83,95.74,(6) Sat,0.03,1.41,(05) May,0,23.13,2018-05-19 03:00:00,TP02,0
Oxycodone,11.37,96.82,(7) Sun,0.17,1.43,(05) May,0,23.52,2018-05-20 03:00:00,TP02,0
Noroxycodone,0.82,123.22,(1) Mon,0.01,1.83,(05) May,0,30.11,2018-05-14 03:00:00,TP02,0
Noroxycodone,2.63,108.03,(2) Tue,0.04,1.69,(05) May,0,27.82,2018-05-15 03:00:00,TP02,0
Noroxycodone,4.34,116.1,(3) Wed,0.07,1.82,(05) May,0,29.83,2018-05-16 03:00:00,TP02,0
Noroxycodone,6.93,126.1,(4) Thu,0.11,1.95,(05) May,0,31.95,2018-05-17 03:00:00,TP02,0
Noroxycodone,2.26,118.43,(5) Fri,0.03,1.76,(05) May,0,28.82,2018-05-18 03:00:00,TP02,0
Noroxycodone,2.12,114.72,(6) Sat,0.03,1.69,(05) May,0,27.72,2018-05-19 03:00:00,TP02,0
Noroxycodone,11.31,114.82,(7) Sun,0.17,1.7,(05) May,0,27.89,2018-05-20 03:00:00,TP02,0
Codeine,3.73,89.37,(1) Mon,0.06,1.33,(05) May,0,21.84,2018-05-14 03:00:00,TP02,0
Codeine,1.03,114.21,(2) Tue,0.02,1.79,(05) May,0,29.41,2018-05-15 03:00:00,TP02,0
Codeine,2.13,98.79,(3) Wed,0.03,1.55,(05) May,0,25.38,2018-05-16 03:00:00,TP02,0
Codeine,7.26,113.84,(4) Thu,0.11,1.76,(05) May,0,28.85,2018-05-17 03:00:00,TP02,0
Codeine,6.36,178.28,(5) Fri,0.09,2.64,(05) May,0,43.39,2018-05-18 03:00:00,TP02,0
Codeine,0.2,93.95,(6) Sat,0.0,1.38,(05) May,0,22.7,2018-05-19 03:00:00,TP02,0
Codeine,8.95,113.48,(7) Sun,0.13,1.68,(05) May,0,27.56,2018-05-20 03:00:00,TP02,0
Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-14 03:00:00,TP02,0
Fentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-15 03:00:00,TP02,0
Fentanyl,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-16 03:00:00,TP02,0
Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-17 03:00:00,TP02,0
Fentanyl,0.3,0.78,(5) Fri,0.0,0.01,(05) May,0,0.19,2018-05-18 03:00:00,TP02,0
Fentanyl,0.11,2.1,(6) Sat,0.0,0.03,(05) May,0,0.51,2018-05-19 03:00:00,TP02,0
Fentanyl,0.12,2.54,(7) Sun,0.0,0.04,(05) May,0,0.62,2018-05-20 03:00:00,TP02,0
Norfentanyl,0.26,12.99,(1) Mon,0.0,0.19,(05) May,0,3.17,2018-05-14 03:00:00,TP02,0
Norfentanyl,0.65,23.35,(2) Tue,0.01,0.37,(05) May,0,6.01,2018-05-15 03:00:00,TP02,0
Norfentanyl,2.39,20.55,(3) Wed,0.04,0.32,(05) May,0,5.28,2018-05-16 03:00:00,TP02,0
Norfentanyl,1.26,13.94,(4) Thu,0.02,0.22,(05) May,0,3.53,2018-05-17 03:00:00,TP02,0
Norfentanyl,1.15,14.63,(5) Fri,0.02,0.22,(05) May,0,3.56,2018-05-18 03:00:00,TP02,0
Norfentanyl,1.43,16.3,(6) Sat,0.02,0.24,(05) May,0,3.94,2018-05-19 03:00:00,TP02,0
Norfentanyl,0.66,11.08,(7) Sun,0.01,0.16,(05) May,0,2.69,2018-05-20 03:00:00,TP02,0
Heroin,0.46,35.14,(1) Mon,0.01,0.52,(05) May,0,8.59,2018-05-14 03:00:00,TP02,0
Heroin,1.44,47.34,(2) Tue,0.02,0.74,(05) May,0,12.19,2018-05-15 03:00:00,TP02,0
Heroin,0.41,26.06,(3) Wed,0.01,0.41,(05) May,0,6.7,2018-05-16 03:00:00,TP02,0
Heroin,2.42,26.43,(4) Thu,0.04,0.41,(05) May,0,6.7,2018-05-17 03:00:00,TP02,0
Heroin,2.07,26.1,(5) Fri,0.03,0.39,(05) May,0,6.35,2018-05-18 03:00:00,TP02,0
Heroin,1.02,26.66,(6) Sat,0.01,0.39,(05) May,0,6.44,2018-05-19 03:00:00,TP02,0
Heroin,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-20 03:00:00,TP02,0
6-Acetylmorphine,4.89,88.8,(1) Mon,0.07,1.32,(05) May,0,21.7,2018-05-14 03:00:00,TP02,0
6-Acetylmorphine,2.28,127.11,(2) Tue,0.04,1.99,(05) May,0,32.74,2018-05-15 03:00:00,TP02,0
6-Acetylmorphine,5.71,91.11,(3) Wed,0.09,1.43,(05) May,0,23.41,2018-05-16 03:00:00,TP02,0
6-Acetylmorphine,5.74,71.77,(4) Thu,0.09,1.11,(05) May,0,18.19,2018-05-17 03:00:00,TP02,0
6-Acetylmorphine,0.39,83.86,(5) Fri,0.01,1.24,(05) May,0,20.41,2018-05-18 03:00:00,TP02,0
6-Acetylmorphine,5.09,69.15,(6) Sat,0.07,1.02,(05) May,0,16.71,2018-05-19 03:00:00,TP02,0
6-Acetylmorphine,3.72,49.89,(7) Sun,0.06,0.74,(05) May,0,12.12,2018-05-20 03:00:00,TP02,0
Oxycodone,4.84,103.83,(1) Mon,0.08,1.67,(07) July,0,27.46,2018-07-23 03:00:00,TP02,10
Oxycodone,3.2,108.5,(2) Tue,0.05,1.74,(07) July,0,28.55,2018-07-24 03:00:00,TP02,10
Oxycodone,16.84,110.61,(3) Wed,0.28,1.82,(07) July,0,29.94,2018-07-25 03:00:00,TP02,10
Oxycodone,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,10000,9999.99,2018-07-26 03:00:00,TP02,10
Oxycodone,1.58,109.69,(5) Fri,0.03,1.73,(07) July,0,28.47,2018-07-27 03:00:00,TP02,10
Oxycodone,3.86,191.89,(6) Sat,0.06,3.14,(07) July,0,51.63,2018-07-28 03:00:00,TP02,10
Oxycodone,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,10000,9999.99,2018-07-29 03:00:00,TP02,10
Noroxycodone,3.98,146.45,(2) Tue,0.06,2.35,(07) July,0,38.53,2018-07-23 03:00:00,TP02,10
Noroxycodone,5.36,103.53,(3) Wed,0.09,1.71,(07) July,0,28.03,2018-07-24 03:00:00,TP02,10
Noroxycodone,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,10000,9999.99,2018-07-25 03:00:00,TP02,10
Noroxycodone,2.31,141.31,(5) Fri,0.04,2.23,(07) July,0,36.67,2018-07-26 03:00:00,TP02,10
Noroxycodone,2.48,293.97,(6) Sat,0.04,4.82,(07) July,0,79.1,2018-07-27 03:00:00,TP02,10
Noroxycodone,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,10000,9999.99,2018-07-28 03:00:00,TP02,10
Codeine,4.3,110.64,(1) Mon,0.07,1.78,(07) July,0,29.26,2018-07-29 03:00:00,TP02,10
Codeine,15.41,117.24,(3) Wed,0.25,1.93,(07) July,0,31.74,2018-07-23 03:00:00,TP02,10
Codeine,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,10000,9999.99,2018-07-24 03:00:00,TP02,10
Codeine,12.18,120.49,(5) Fri,0.19,1.9,(07) July,0,31.27,2018-07-25 03:00:00,TP02,10
Codeine,15.36,266.3,(6) Sat,0.25,4.36,(07) July,0,71.66,2018-07-26 03:00:00,TP02,10
Codeine,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,10000,9999.99,2018-07-27 03:00:00,TP02,10
Fentanyl,0.07,2.08,(1) Mon,0.0,0.03,(07) July,0,0.55,2018-07-28 03:00:00,TP02,10
Fentanyl,0.14,1.18,(2) Tue,0.0,0.02,(07) July,0,0.31,2018-07-29 03:00:00,TP02,10
Fentanyl,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,10000,9999.99,2018-07-23 03:00:00,TP02,10
