,Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site
0,Oxycodone,5.33,66.98,(1) Mon,0.0,0.05,(05) May,0,16.0,2018-05-14 03:00:00,TP05
1,Oxycodone,1.37,59.28,(2) Tue,0.0,0.04,(05) May,0,14.0,2018-05-15 03:00:00,TP05
2,Oxycodone,12.73,109.41,(3) Wed,0.01,0.07,(05) May,0,26.0,2018-05-16 03:00:00,TP05
3,Oxycodone,0.1,28.1,(4) Thu,0.0,0.02,(05) May,0,6.0,2018-05-17 03:00:00,TP05
4,Oxycodone,5.94,81.24,(5) Fri,0.0,0.05,(05) May,0,17.0,2018-05-18 03:00:00,TP05
5,Oxycodone,2.08,59.84,(6) Sat,0.0,0.02,(05) May,0,8.0,2018-05-19 03:00:00,TP05
6,Oxycodone,1.55,19.27,(7) Sun,0.0,0.01,(05) May,0,2.0,2018-05-20 03:00:00,TP05
7,Noroxycodone,1.63,91.17,(1) Mon,0.0,0.06,(05) May,0,22.0,2018-05-14 03:00:00,TP05
8,Noroxycodone,6.07,81.99,(2) Tue,0.0,0.06,(05) May,0,20.0,2018-05-15 03:00:00,TP05
9,Noroxycodone,5.64,137.93,(3) Wed,0.0,0.09,(05) May,0,32.0,2018-05-16 03:00:00,TP05
10,Noroxycodone,3.0,34.59,(4) Thu,0.0,0.02,(05) May,0,8.0,2018-05-17 03:00:00,TP05
11,Noroxycodone,2.65,96.33,(5) Fri,0.0,0.06,(05) May,0,21.0,2018-05-18 03:00:00,TP05
12,Noroxycodone,1.84,57.87,(6) Sat,0.0,0.02,(05) May,0,7.0,2018-05-19 03:00:00,TP05
13,Noroxycodone,0.93,23.1,(7) Sun,0.0,0.01,(05) May,0,2.0,2018-05-20 03:00:00,TP05
14,Codeine,24.64,166.18,(1) Mon,0.02,0.11,(05) May,0,40.0,2018-05-14 03:00:00,TP05
15,Codeine,26.82,122.64,(2) Tue,0.02,0.08,(05) May,0,30.0,2018-05-15 03:00:00,TP05
16,Codeine,22.63,126.94,(3) Wed,0.01,0.08,(05) May,0,30.0,2018-05-16 03:00:00,TP05
17,Codeine,5.13,27.09,(4) Thu,0.0,0.02,(05) May,0,6.0,2018-05-17 03:00:00,TP05
18,Codeine,17.41,109.42,(5) Fri,0.01,0.07,(05) May,0,23.0,2018-05-18 03:00:00,TP05
19,Codeine,8.72,77.24,(6) Sat,0.0,0.03,(05) May,0,10.0,2018-05-19 03:00:00,TP05
20,Codeine,1.44,46.3,(7) Sun,0.0,0.01,(05) May,0,5.0,2018-05-20 03:00:00,TP05
21,Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-14 03:00:00,TP05
22,Fentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-15 03:00:00,TP05
23,Fentanyl,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-16 03:00:00,TP05
24,Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-17 03:00:00,TP05
25,Fentanyl,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-18 03:00:00,TP05
26,Fentanyl,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-19 03:00:00,TP05
27,Fentanyl,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-20 03:00:00,TP05
28,Norfentanyl,1.71,15.4,(1) Mon,0.0,0.01,(05) May,0,4.0,2018-05-14 03:00:00,TP05
29,Norfentanyl,0.03,6.9,(2) Tue,0.0,0.0,(05) May,0,2.0,2018-05-15 03:00:00,TP05
30,Norfentanyl,0.04,15.39,(3) Wed,0.0,0.01,(05) May,0,4.0,2018-05-16 03:00:00,TP05
31,Norfentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-17 03:00:00,TP05
32,Norfentanyl,0.48,7.04,(5) Fri,0.0,0.0,(05) May,0,2.0,2018-05-18 03:00:00,TP05
33,Norfentanyl,0.16,7.34,(6) Sat,0.0,0.0,(05) May,0,1.0,2018-05-19 03:00:00,TP05
34,Norfentanyl,0.43,4.48,(7) Sun,0.0,0.0,(05) May,0,0.0,2018-05-20 03:00:00,TP05
35,Heroin,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-14 03:00:00,TP05
36,Heroin,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-15 03:00:00,TP05
37,Heroin,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-16 03:00:00,TP05
38,Heroin,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-17 03:00:00,TP05
39,Heroin,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-18 03:00:00,TP05
40,Heroin,0.51,9.99,(6) Sat,0.0,0.0,(05) May,0,1.25,2018-05-19 03:00:00,TP05
41,Heroin,0.04,8.72,(7) Sun,0.0,0.0,(05) May,0,0.94,2018-05-20 03:00:00,TP05
42,6-Acetylmorphine,1.23,26.98,(1) Mon,0.0,0.02,(05) May,0,6.0,2018-05-14 03:00:00,TP05
43,6-Acetylmorphine,0.1,4.1,(2) Tue,0.0,0.0,(05) May,0,1.0,2018-05-15 03:00:00,TP05
44,6-Acetylmorphine,0.28,6.73,(3) Wed,0.0,0.0,(05) May,0,2.0,2018-05-16 03:00:00,TP05
45,6-Acetylmorphine,0.45,4.3,(4) Thu,0.0,0.0,(05) May,0,1.0,2018-05-17 03:00:00,TP05
46,6-Acetylmorphine,0.18,7.14,(5) Fri,0.0,0.0,(05) May,0,2.0,2018-05-18 03:00:00,TP05
